hidden node,upsample,steps,surrogate scale,epochs,learning rate,loss,running time,train accuracy,test_accuracy
150,1,76,15,100,0.01,0.007036241,75.85,100,98.52
150,1,76,15,100,0.01,0.011109354,76.52,99.91,97.52
150,1,76,15,100,0.01,0.02079101,76.14,98.8,94.24
200,1,76,15,100,0.01,0.017443084,75.76,99.11,96.05
200,1,76,15,100,0.01,0.024903302,76.51,99.82,98.19
200,1,76,15,100,0.01,0.13321066,76.39,95.8,81
200,1,76,15,100,0.01,0.169054812,76.6,96.05,83.76
200,1,76,15,100,0.01,0.181915079,77.79,94.84,81.67
200,1,76,15,100,0.01,0.25787521,78.22,90.55,75.81
200,1,76,15,100,0.01,0.290654906,77.23,92.89,86.38
200,1,76,15,100,0.01,0.297647469,79.19,91.43,78.9
200,1,76,15,100,0.01,0.320770655,76.05,88.66,85.29
250,1,76,15,100,0.01,0.004462811,76.09,100,98.86
250,1,76,15,100,0.01,0.061173158,76.82,98.7,95.43
250,1,76,15,100,0.01,0.260810154,75.78,92.95,89.95
150,2,152,15,100,0.01,0.023324246,139.63,99.55,99.33
150,2,152,15,100,0.01,0.072170768,140.93,98.18,93.14
150,2,152,15,100,0.01,0.137002751,140.82,96.14,92
200,2,152,15,100,0.01,0.007238054,142.57,100,99.19
200,2,152,15,100,0.01,0.007259362,147.62,100,100
200,2,152,15,100,0.01,0.007259362,141.66,100,100
200,2,152,15,100,0.01,0.025564303,145.81,100,98.38
200,2,152,15,100,0.01,0.025564303,143.87,100,98.38
200,2,152,15,100,0.01,0.026709091,141.93,99.73,95.71
200,2,152,15,100,0.01,0.416023355,146.49,88.8,83.29
200,2,152,15,100,0.01,0.416023355,141.02,88.8,83.29
200,2,152,15,100,0.01,0.439767483,140.32,88.52,86.43
250,2,152,15,100,0.01,0.031457477,142.86,99.73,97.19
250,2,152,15,100,0.01,0.042393485,140.99,99.73,98.05
250,2,152,15,100,0.01,0.117544624,141.74,96.34,91.9
150,3,228,15,100,0.01,0.050722016,211.01,98.52,94.9
150,3,228,15,100,0.01,0.149199883,212.25,95.45,91.62
150,3,228,15,100,0.01,0.337303769,212.18,90.41,87.86
200,3,228,15,100,0.01,0.027932196,215.13,99.27,97.86
200,3,228,15,100,0.01,0.02905219,206.74,99.7,97.1
200,3,228,15,100,0.01,0.550974656,214.69,82.36,74.52
250,3,228,15,100,0.01,0.016922672,212.81,99.91,98.38
250,3,228,15,100,0.01,0.202236914,212.75,95.59,90.14
250,3,228,15,100,0.01,0.224053738,212.13,94.77,93.57
150,1,76,20,100,0.01,0.00916917,75.89,100,100
150,1,76,20,100,0.01,0.15667255,76.28,95.7,94.38
150,1,76,20,100,0.01,0.164508164,75.74,95.25,90.71
200,1,76,20,100,0.01,0.030828805,76.11,99.09,98.52
200,1,76,20,100,0.01,0.040513131,75.71,99.25,98.19
200,1,76,20,100,0.01,0.129004407,76.82,96.41,93.14
200,1,76,20,100,0.01,0.259496946,77.44,90.64,80.67
200,1,76,20,100,0.01,0.277908016,75.88,92.89,82.52
200,1,76,20,100,0.01,0.308054192,76.97,89.32,80.81
200,1,76,20,100,0.01,0.373531225,78.13,88.48,80.62
200,1,76,20,100,0.01,0.393485042,76.55,92.09,82.33
200,1,76,20,100,0.01,0.810988827,78.22,77.45,67.14
250,1,76,20,100,0.01,0.135936366,76.83,95.93,94.71
250,1,76,20,100,0.01,0.142343899,77.44,96.59,90.52
250,1,76,20,100,0.01,0.236506465,76.81,93,89.24
150,2,152,20,100,0.01,0.019832043,144.17,99.91,99.52
150,2,152,20,100,0.01,0.160577017,139.75,95.68,94.71
150,2,152,20,100,0.01,0.178481651,140.2,95.48,92.29
200,2,152,20,100,0.01,0.016668729,147.05,99.8,98.52
200,2,152,20,100,0.01,0.016668729,145.75,99.8,98.52
200,2,152,20,100,0.01,0.028758554,143.22,99.64,95.57
200,2,152,20,100,0.01,0.146116345,145.75,96.11,95.1
200,2,152,20,100,0.01,0.146116345,146.11,96.11,95.1
200,2,152,20,100,0.01,0.146116345,140.73,96.11,95.1
200,2,152,20,100,0.01,0.158630498,145.2,96.09,94.95
200,2,152,20,100,0.01,0.158630498,142.57,96.09,94.95
200,2,152,20,100,0.01,0.201963096,143.48,95.32,91.95
250,2,152,20,100,0.01,0.032665042,143.02,99.8,96.05
250,2,152,20,100,0.01,0.037500643,143.41,99.36,97.71
250,2,152,20,100,0.01,0.124893139,144.24,96.66,87.29
150,3,228,20,100,0.01,0.016237072,209.2,99.91,98.86
150,3,228,20,100,0.01,0.0303401,210.84,97.73,94.62
150,3,228,20,100,0.01,0.037229069,212.72,99.55,98.19
200,3,228,20,100,0.01,0.04006966,207.67,99,98.67
200,3,228,20,100,0.01,0.144994814,212.91,96.11,91.67
200,3,228,20,100,0.01,0.240689377,212.98,93.05,88.29
250,3,228,20,100,0.01,0.033503845,207.93,98.61,94.62
250,3,228,20,100,0.01,0.039008833,205.97,99.55,96.57
250,3,228,20,100,0.01,0.158721143,211.87,95.95,93.76
150,1,76,25,100,0.01,0.021419113,76.58,100,97.86
150,1,76,25,100,0.01,0.4281587,75.95,86.77,82.71
150,1,76,25,100,0.01,0.462479398,77.57,88.84,85.62
200,1,76,25,100,0.01,0.015463828,76.94,99.45,98.33
200,1,76,25,100,0.01,0.18288709,77.27,92.39,84.1
200,1,76,25,100,0.01,0.199762028,73.92,95.52,93.62
200,1,76,25,100,0.01,0.204183111,77.87,94.86,85.76
200,1,76,25,100,0.01,0.228039828,77.53,93.68,87.62
200,1,76,25,100,0.01,0.273446779,78.4,93.07,83.14
200,1,76,25,100,0.01,0.290892635,77.4,90.93,79.1
200,1,76,25,100,0.01,0.34930754,76.3,89.64,86.95
200,1,76,25,100,0.01,0.419756705,76.21,89.34,81
250,1,76,25,100,0.01,0.009036534,77.17,99.82,98.52
250,1,76,25,100,0.01,0.011796935,75.78,99.27,97.52
250,1,76,25,100,0.01,0.168186724,75.99,94.68,91.33
150,2,152,25,100,0.01,0.009844945,141.67,100,98.57
150,2,152,25,100,0.01,0.134435267,143,96.05,94.1
150,2,152,25,100,0.01,0.157014713,140.81,95.75,91.86
200,2,152,25,100,0.01,0.033686272,143.47,99.91,98.19
200,2,152,25,100,0.01,0.034297509,142.66,97.82,93.9
200,2,152,25,100,0.01,0.05409047,147.95,99.18,96.57
200,2,152,25,100,0.01,0.05409047,143.56,99.18,96.57
200,2,152,25,100,0.01,0.064071658,144.31,96.77,90.95
200,2,152,25,100,0.01,0.064071658,140.34,96.77,90.95
200,2,152,25,100,0.01,0.162113874,146.11,95.43,92.33
200,2,152,25,100,0.01,0.162113874,145.34,95.43,92.33
200,2,152,25,100,0.01,0.405161791,144.91,88.27,86.24
250,2,152,25,100,0.01,0.005720569,140.46,100,97.71
250,2,152,25,100,0.01,0.020646738,143.53,99.91,98.38
250,2,152,25,100,0.01,0.126738308,141.05,96.43,93.1
150,3,228,25,100,0.01,0.01001618,213.56,100,100
150,3,228,25,100,0.01,0.170663001,213.53,95.25,89.71
150,3,228,25,100,0.01,0.196727952,213.7,94.86,92.43
200,3,228,25,100,0.01,0.049130755,212.34,99,95.57
200,3,228,25,100,0.01,0.144534661,214.03,96.11,90.67
200,3,228,25,100,0.01,0.158012584,212.35,95.05,95.71
250,3,228,25,100,0.01,0.011429622,210.66,100,98.19
250,3,228,25,100,0.01,0.020403329,209.94,99.55,95.43
250,3,228,25,100,0.01,0.274517042,209.97,92,91.48